Nombre,EjeMayor,PeriodoDias,Excentricidad
Kepler-254_d,0.138108,18.746477,
CoRoT-19_b,0.0516604,3.89713,0.047
Kepler-264_b,0.231966,40.806231,
Kepler-122_c,0.105218,12.465988,
Kepler-142_b,0.0313162,2.024152,
alpha_Ari_b,1.1296,380,0.25
Kepler-240_c,0.0779794,7.953528,
61_Vir_b,0.05006,4.215,0.12
Kepler-298_b,0.0936962,10.475464,
HD_210702_b,1.17218,354.29,0.036
Kepler-363_d,0.102192,11.932125,
HAT-P-4_b,0.0443853,3.056536,0
HAT-P-21_b,0.0494951,4.124481,0.228
Kepler-215_d,0.192566,30.864423,
Kepler-232_c,0.0990113,11.379349,
Kepler-346_b,0.0682408,6.511127,
Kepler-330_c,0.124035,15.955387,
alpha_Cen_B_b,0.0418506,3.2357,0
mu_Ara_b,1.5273,643.25,0.128
WASP-45_b,0.0405459,3.1260876,0
HD_73526_c,1.02831,377.8,0.14
Kepler-382_c,0.103505,12.162701,
Kepler-333_c,0.163234,24.08821,
Kepler-17_b,0.0267923,1.4857108,0
14_Her_b,2.93362,1773.4,0.369
HAT-P-33_b,0.0499317,3.474474,0
Kepler-166_c,0.206443,34.260281,
OGLE-05-169L_b,3.41991,3300,
HIP_79431_b,0.358346,111.7,0.29
HD_171238_b,2.54268,1523,0.4
Kepler-272_c,0.0650321,6.057342,
Kepler-157_c,0.111181,13.5405,
HIP_5158_b,0.887919,345.72,0.52
Kepler-308_c,0.121047,15.38231,
WASP-46_b,0.0244921,1.43037,0
Kepler-157_b,0.028229,1.732342,
GJ_849_b,2.35317,1882,0.04
Kepler-52_d,0.215129,36.445171,
Kepler-197_c,0.0929448,10.349695,
Kepler-163_b,0.0770446,7.810937,
Kepler-121_c,0.23273,41.008011,
Kepler-191_b,0.0904732,9.939632,
Kepler-123_b,0.130568,17.232366,
Kepler-320_b,0.0806883,8.371554,
HAT-P-1_b,0.0553326,4.4652934,0
Kepler-186_f,0.392576,129.9459,0.01
Kepler-201_b,0.170313,25.672083,
